name,borough,pit,condition,diameter,height,age,foliage_density,canopy,value
American Elm,Staten Island,0,1,79.5,27.4,120,80,289.6,6838
American Elm,Staten Island,,2,22.3,6.1,16,55,10.5,936
American Elm,Manhattan,1,2,7.6,6.4,13,35,7.3,155
American Elm,Manhattan,1,2,10.2,6.4,14,40,18.7,276
American Holly,Staten Island,0,2,25.8,5.5,20,90,18.7,1215
American Holly,Staten Island,0,2,27.1,5.2,23,90,12.3,1299
Apple,Staten Island,0,2,50.7,11.6,64,50,49.3,3471
Ash,Staten Island,1,2,20.3,9.1,31,65,49.3,975
Ash,Staten Island,1,3,20.3,6.1,24,55,32.2,636
Ash,Staten Island,1,2,22.9,8.5,34,70,70.1,1125
Ash,Staten Island,1,2,20.3,13.4,29,75,57.2,975
Ash,Staten Island,1,2,17.8,13.4,28,70,53.2,843
Ash,Staten Island,1,2,17.8,13.4,28,70,53.2,843
Ash,Staten Island,1,2,20.3,13.4,32,70,53.2,975
Ash,Staten Island,1,2,61,19.5,94,50,105.4,5488
Ash,Staten Island,1,2,20.3,12.2,40,65,45.6,975
Ash,Bronx,1,2,22.9,9.4,37,75,42,1125
Balsam Fir,Staten Island,0,2,7.6,4.6,20,55,10.5,155
Black Cherry,Staten Island,0,2,63.5,19.8,125,40,134.9,5153
Black Cherry,Staten Island,0,3,66,15.8,130,35,182.4,3614
Black Cherry,Staten Island,0,2,17.8,9.1,35,50,35.3,801
Black Cherry,Staten Island,0,2,25.4,14,50,35,53.2,1187
Black Cherry,Staten Island,0,2,43,9.8,65,65,49.3,2592
Black locust,Staten Island,0,3,68.6,21.9,108,40,128.7,3583
Black locust,Staten Island,0,2,20.3,15.8,31,45,45.6,885
Black locust,Staten Island,0,2,27.4,17.1,40,40,45.6,1245
Black Oak,Staten Island,0,2,35.6,15.8,56,40,74.7,2139
Blue Spruce,Staten Island,0,2,17.8,6.1,32,75,10.5,843
Callery Pear,Staten Island,1,2,12.7,7.3,15,55,21.1,621
Callery Pear,Staten Island,1,1,20.3,8.5,23,90,45.6,966
Callery Pear,Staten Island,0,2,22.9,10.4,28,65,49.3,1048
Callery Pear,Staten Island,1,2,24.9,4.9,10,75,7.3,1162
Callery Pear,Staten Island,1,2,24.9,4.9,10,75,7.3,1162
Callery Pear,Staten Island,1,2,24.9,4.9,10,75,8.8,1162
Callery Pear,Staten Island,1,2,15.2,11.3,24,90,32.2,705
Callery Pear,Manhattan,1,3,25.4,7.3,29,35,57.2,778
Callery Pear,Manhattan,1,2,22.9,7.3,28,60,57.2,1048
Callery Pear,Manhattan,1,2,25.4,7.3,29,55,49.3,1192
Callery Pear,Manhattan,1,2,27.9,8.5,34,65,65.7,1352
Callery Pear,Manhattan,1,2,35.6,8.5,41,80,128.7,1924
Callery Pear,Manhattan,1,3,20.3,7.3,23,20,32.2,599
Callery Pear,Manhattan,1,2,7.6,7.3,13,40,16.4,188
